Klient,Client_ID,Opiekun,Segment,Grupa_MVP,Status,Aktywny,Telefon,Telefon_dodatkowy,Email,Email_dodatkowe,Preferowana_forma_kontaktu,Zamówienia_gdzie,Dni_zamówień,Rytm_kontaktu,Miasto,Kraj,Notatki,Grupa_raw
SKALO - Tsuma Sushi,C141,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,faktury@skalo.pl,,,,,,Konstancin-Jeziorna,Poland,"Adres: ul. Saneczkowa 12; 05-510; Konstancin-Jeziorna; Poland | Info: Pełna nazwa: SKALO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1231538881
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 13 lis 2025",4. WERYFIKACJA - ZOSTANA
Sklep Medyczny,C142,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,22858216,,sklepmedyczny@radosna.pl,,Sms,Skalo,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Resorowa 40; 02-956; Warszawa; Poland | Info: Pełna nazwa: `APTEKA RADOSNA - TYCHMANOWICZ` SPÓŁKA JAWNA
NIP: 9512011247
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  18%
SK-6784-13-02-25-9AD | Dodany: 13 gru 2023",4. WERYFIKACJA - ZOSTANA
SMASZ IT DOLNA,C143,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,791510741,,smaszit@gmail.com,,,,,,Warszawa,Poland,"Adres: ul. Dolna 41/K1; 00-773; Warszawa; Poland | Info: Pełna nazwa: SMASZ IT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5214109530
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: dostawa od 11
zglosić do ubezpieczenia po 13.03.2026 | Uwagi: walczymy z przeterminowaniami | Dodany: 09 maj 2025",5. WERYFIKACJA - ODEJDA
SMASZ IT SOLEC,C144,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,791510741,,smaszit@gmail.com,,,,,,Warszawa,Poland,"Adres: ul. Dolna 41/K1; 00-773; Warszawa; Poland | Info: Pełna nazwa: SMASZ IT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5214109530
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: dostawa od 11 | Uwagi: walczymy z przeterminowaniami | Dodany: 22 maj 2025",5. WERYFIKACJA - ODEJDA
SUSHI 101,C145,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,601333822,,sushi101.norblin@gmail.com,,Sms,SMS,Środa,2x/miesiąc,Warszawa,Poland,"Adres: ul. Żelazna 51/53; 00-841; Warszawa; Poland | Info: Pełna nazwa: SUSHI 101 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5272961006
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 900
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat  15% | Uwagi: małe zamówienia/mały punkt | Dodany: 26 lis 2021",5. WERYFIKACJA - ODEJDA
Sushi Flow,C146,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,jarekkaniewski1@wp.pl,,Sms,Skalo,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: Kaliny Jedrusik 7 lok U9; 01-748; Warszawa; Poland | Info: Pełna nazwa: Jarosław Kaniewski
NIP: 5213229999
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Dodany: 08 kwi 2022",5. WERYFIKACJA - ODEJDA
Sushi Mango 2,C147,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,510935901,730113901,marcin.panczyk78@gmail.com,,Sms,SMS,Środa,2x/miesiąc,Gulczewo,Poland,"Adres: Jodłowa 15; 07-200; Gulczewo; Poland | Info: Pełna nazwa: MANGO MARCIN PAŃCZYK
NIP: 8851505052
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Marcin (nowy właściciel) | Notatka: Rabat  15%
Limit EULER 20 000 | Dodany: 29 sie 2025",4. WERYFIKACJA - ZOSTANA
Sushi Point 2,C148,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,renata@piesiewicz.net,,Sms,SMS,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Świętokrzyska 32 lok. 1U-96; 00-116; Warszawa; Poland | Info: Pełna nazwa: SUSHI SAN SW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 9512573927
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10% | Dodany: 19 sty 2024",5. WERYFIKACJA - ODEJDA
Szaurmafia,C149,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,786110370,,dimaonlinecafe@gmail.com,,Sms,Skalo,Wtorek,1x/miesiąc,Warszawa,Poland,"Adres: ul. Łucka 2/4/6 lok. 2E; 00-845; Warszawa; Poland | Info: Pełna nazwa: Gastro-Mafia Sp. z o.o.
NIP: 5273136304
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Ira  -  osoba odpiwiedzialna za zamówienia | Notatka: Rabat  15%

Limit EULER 20 000 | Dodany: 06 lut 2024",4. WERYFIKACJA - ZOSTANA
Szkoła w Mińsku,C150,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,,,,,,,Mińsk Mazowiecki,Poland,"Adres: ul. Tadeusza Kościuszki 3; 05-300; Mińsk Mazowiecki; Poland | Info: Pełna nazwa: POWIAT MIŃSKI
NIP: 8222342426
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10% | Uwagi: rzadko/brak współpracy | Dodany: 08 wrz 2023",5. WERYFIKACJA - ODEJDA
Śledzie z Bornholmu,C151,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,690071712,,faktury@fishbrothers.pl,maciek@fishbrothers.pl,Sms,Skalo,,1x/tydzień,Warszawa,Poland,"Adres: ul. Lekka 3 lok. U4; 01-910; Warszawa; Poland | Info: Pełna nazwa: FISH BROTHERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1182187015
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. Michal Menager | Notatka: Rabat  10%
SKONTO
ODMOWA UBEZPIECZENIA | Uwagi: Zwracac uwage na kolory sztućców / nie dawać ajax | Dodany: 01 lis 2022",4. WERYFIKACJA - ZOSTANA
Świetlica,C152,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,swietlica.klub@gmail.com,mariuszmichalik@icloud.com,Sms,SMS,Środa,2x/miesiąc,Warszawa,Poland,"Adres: ul. Geodetów 6 lok. 79; 02-396; Warszawa; Poland | Info: Pełna nazwa: Przedsiębiorstwo Wielobranżowe WERONIKA MICHALIK
NIP: 7010116788
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10% | Uwagi: Ciagłe zmiany osoób zamwiajacych | Dodany: 07 paź 2015",5. WERYFIKACJA - ODEJDA
Takumi,C153,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,609608261,,takumikonstancin@gmail.com,malgorzata.rojek@addallhoreca.pl,,,,,Konstancin Jeziorna,Poland,"Adres: UL. WARSZAWSKA 10; 05-520; Konstancin Jeziorna; Poland | Info: Pełna nazwa: Takumi Mateusz Rakowski
NIP: 1231556643
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Mateusz Rakowski | Dodany: 12 sie 2025",5. WERYFIKACJA - ODEJDA
Ten Sushi 2,C154,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,730129730,,krzysztof.probar@gmail.com,probar.malgorzata@gmail.com,,,,,Kobyłka,Poland,"Adres: ul. Osiedlowa 5 lok. 7; 05-230; Kobyłka; Poland | Info: Pełna nazwa: PROBAR MAŁGORZATA POPEK
NIP: 1250936022
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 12
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Krzysztof Popek - Właściciel | Notatka: Rabat  15%
Limit EULER 20 000 | Dodany: 12 maj 2023",5. WERYFIKACJA - ODEJDA
The Morning After,C155,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,533197183,572647649,ewnswork2023@gmail.com,,,,,,Warszawa,Poland,"Adres: Aleja Jana Pawła II 43A lok. 37B; 01-001; Warszawa; Poland | Info: Pełna nazwa: MARA BAR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 7011094310
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 18
Limit kredytowy: 8500
Opis/Notatki z Bigin:
Kontakt: brak ubezp. Ula ChartkovaOsoba odpowiedzialna za zamów. | Notatka: Rabat  18%
KLIENT FAKTURA | Dodany: 24 paź 2023",5. WERYFIKACJA - ODEJDA
Ti Amo Tratoria,C156,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,50211303,593900424,tiamo@tiamo.pl,ewelina@tiamo.pl,Sms,SMS,Czwartek,1x/tydzień,Warszawa,Poland,"Adres: ul. Świętokrzyska 34; 00-116; Warszawa; Poland | Info: Pełna nazwa: TIAMO ANNA PRZYGODA
NIP: 5221842289
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Dodatkowe info (telefon): Łukasz - Osoba odpowiedzialna za zam
Opis/Notatki z Bigin:
Kontakt: Ewelina - Menager | Notatka: Rabat  20%
Limit EULER 20 000 | Dodany: 12 cze 2023",4. WERYFIKACJA - ZOSTANA
Tomasz Łagowski,C157,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,733384873,,tomasz.lagowski@belvedere.com.pl,,Sms,Skalo,Wtorek,1x/tydzień,Warszawa,Poland,"Adres: ul. Gromowładna 5; 02-852; Warszawa; Poland | Info: Pełna nazwa: Poland is tasty Tomasz Łagowski
NIP: 9512270345
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 18
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Tomasz Łagowski | Notatka: LIMIT EULER 20000 | Dodany: 02 paź 2023",4. WERYFIKACJA - ZOSTANA
Tres Toros,C158,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,,,,,,,Warszawa,Poland,"Adres: Dobra 40; 00-344; Warszawa; Poland | Info: Pełna nazwa: Tres Toros SP Z O.O.
NIP: 5272884398
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 22 sie 2025",5. WERYFIKACJA - ODEJDA
TRUE STORY,C159,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,572122405,,bobr.pizza.waw@gmail.com,,,,,,Warszawa,Poland,"Adres: ul. Ostrobramska 101 A lok. 301; 04-041; Warszawa; Poland | Info: Pełna nazwa: BOBRPIZZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1133144342
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: ZGŁOSZONA SZKODA WINDYKACYJNA
Limit Euler 20 000 | Uwagi: Zamknięte w 2025/windykacja | Dodany: 21 lis 2024",4. WERYFIKACJA - ZOSTANA
Tsuma Sushi,C160,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,508609059,,biuro.tsuma@gmail.com,,Sms,Skalo,Środa,2x/miesiąc,Warszawa,Poland,"Adres: ul. Twarda 18; 00-105; Warszawa; Poland | Info: Pełna nazwa: LBPS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5253058707
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Gotówka
Termin płatności (dni): 0
Rabat (%): 0
Limit kredytowy: 0
Opis/Notatki z Bigin:
Dodany: 20 lis 2025",4. WERYFIKACJA - ZOSTANA
Usagi Sushi,C161,Magda,Weryfikacja,Weryfikacja - odejda,Do weryfikacji (odejda),0,,,z.a.j.a.c1@wp.pl,malgorzata.rojek@addallhoreca.pl,,,,,Warszawa,Poland,"Adres: ul. Powstańców Śląskich 104 lok. 216; 01-466; Warszawa; Poland | Info: Pełna nazwa: USAGI SUSHI MACIEJ ZAJĄC
NIP: 1132524574
Grupa: 5. WERYFIKACJA - ODEJDA
Sugerowany opiekun: Weryfikacja
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  10%
Limit EULER 20 000
SKONTO | Dodany: 20 paź 2021",5. WERYFIKACJA - ODEJDA
W Kropki Bordo,C162,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,534305603,,kawiarniawkropkibordo@gmail.com,,Sms,Skalo,Czwartek,2x/tydzień,Warszawa,Poland,"Adres: ul. Ruczaj 88H; 02-997; Warszawa; Poland | Info: Pełna nazwa: LUNA MACIEJ DOMINIAK
NIP: 5271009524
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 23
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Sandra - Menager | Notatka: Rabat  20%
Limit EULER 20 000
Wystawiamy Wz z cenami | Dodany: 07 kwi 2022",4. WERYFIKACJA - ZOSTANA
Wery Sweet,C163,Magda,Weryfikacja,Weryfikacja - zostana,Do weryfikacji,0,,,kontakt@lakazawady.pl,,Sms,SMS,,1x/miesiąc,Warszawa,Poland,"Adres: Aleja Rzeczypospolitej 33 lok. 37; 02-972; Warszawa; Poland | Info: Pełna nazwa: WerySweet WERONIKA PRZYBYLSKA-RATYŃSKA
NIP: 1132790459
Grupa: 4. WERYFIKACJA - ZOSTANA
Sugerowany opiekun: Weryfikacja
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 10
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat 10%
BRAK UBEZPIECZENIA | Uwagi: otwarte sezonowo | Dodany: 07 cze 2023",4. WERYFIKACJA - ZOSTANA
